compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,species,geometry
C1Ta1,aflow:1a09c2f90d68b88d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_618846,225,cF8,"['C', 'Ta']","[3.18669, 3.18669, 3.18669, 60, 60, 60]"
C1Ta1,aflow:20e821530f762f35,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_618839,225,cF8,"['C', 'Ta']","[3.186, 3.186, 3.186, 60, 60, 60]"
C1Ta1,aflow:22bff7899889f374,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_618833,225,cF8,"['C', 'Ta']","[3.186, 3.186, 3.186, 60, 60, 60]"
C1Ta1,aflow:2391172d7af0e248,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_618831,225,cF8,"['C', 'Ta']","[3.18511, 3.18511, 3.18511, 60, 60, 60]"
C1Ta1,aflow:30b8bfe5c6e7f866,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_44497,225,cF8,"['C', 'Ta']","[3.186, 3.186, 3.186, 60, 60, 60]"
C1Ta1,aflow:40082cf918ce5b7d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_159879,225,cF8,"['C', 'Ta']","[3.18675, 3.18675, 3.18675, 60, 60, 60]"
C1Ta1,aflow:4552a30e8e5a7e99,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_159877,225,cF8,"['C', 'Ta']","[3.186, 3.186, 3.186, 60, 60, 60]"
C1Ta1,aflow:4d7bc1aa003d0bf5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_618828,225,cF8,"['C', 'Ta']","[3.186, 3.186, 3.186, 60, 60, 60]"
C1Ta1,aflow:53d63dba5b721b6a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_618829,225,cF8,"['C', 'Ta']","[3.186, 3.186, 3.186, 60, 60, 60]"
C1Ta1,aflow:59370902f59973c3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_159876,225,cF8,"['C', 'Ta']","[3.186, 3.186, 3.186, 60, 60, 60]"
C1Ta1,aflow:5a7db361d95c4b89,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_618836,225,cF8,"['C', 'Ta']","[3.186, 3.186, 3.186, 60, 60, 60]"
C1Ta1,aflow:610c3651ef29f532,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_618830,225,cF8,"['C', 'Ta']","[3.18599, 3.18599, 3.18599, 60, 60, 60]"
