compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,species,spinD_carbon,spinD_metal,Egap,agl_thermal_expansion_300K,agl_debye,enthalpy_formation_atom,natoms,volume_cell,calculated_lattice_parameter,ael_bulk_modulus_vrh,ael_poisson_ratio,ael_shear_modulus_vrh,ael_youngs_modulus_vrh,agl_thermal_conductivity_300K
C1Pd1,aflow:fea5bd3abdf35cf1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pd1_ICSD_181774,225,cF8,"['C', 'Pd']",0.0,0.0,0,4.45288e-05,341.987,,2,21.6709,4.425669512578883,210.867,0.396147,47.056,131.394,5.43069
C1Pt1,aflow:13435caa82fe4e49,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pt1_ICSD_181114,225,cF8,"['C', 'Pt']",0.0,0.0,0,3.54733e-05,248.065,,2,22.0896,4.453990444905488,259.283,0.422009,42.6618,121.331,3.85442
C1Pt1,aflow:c0b507c919c8c1f6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pt1_ICSD_185984,225,cF8,"['C', 'Pt']",0.0,0.0,0,,,,2,22.0776,4.45318376715305,,,,,
C1Pt1,aflow:d17c8a455a0d4f17,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pt1_ICSD_181345,225,cF8,"['C', 'Pt']",0.0,0.0,0,,,,2,22.0933,4.454239111617629,,,,,
C1Pu1,aflow:257936faf6785e79,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pu1_ICSD_618665,225,cF8,"['C', 'Pu']",-0.233,4.396,0,,,,2,30.9832,4.985729978709869,,,,,
C1Pu1,aflow:5cb46318869a4a70,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pu1_ICSD_618670,225,cF8,"['C', 'Pu']",-0.232,4.396,0,,,,2,30.9704,4.985043304060703,,,,,
C1Pu1,aflow:5f74025cd78a8182,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pu1_ICSD_77305,225,cF8,"['C', 'Pu']",-0.232,4.396,0,,,,2,30.9545,4.984190061861337,,,,,
C1Pu1,aflow:88e69408c087daa4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pu1_ICSD_618671,225,cF8,"['C', 'Pu']",-0.231,4.395,0,,,,2,30.9391,4.983363372587561,,,,,
C1Pu1,aflow:93392054fcfff716,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pu1_ICSD_31719,225,cF8,"['C', 'Pu']",4.393,4.393,0,,,,2,30.9646,4.984732092320172,,,,,
C1Pu1,aflow:aeda4a4d6b30f06a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pu1_ICSD_618675,225,cF8,"['C', 'Pu']",-0.234,4.401,0,,,,2,31.1426,4.9942654254453815,,,,,
C1Pu1,aflow:c29f8b8a7e63eeaa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pu1_ICSD_618676,225,cF8,"['C', 'Pu']",-0.233,4.397,0,,,,2,30.998,4.986523710557023,,,,,
C1Pu1,aflow:e8527346a8162154,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pu1_ICSD_618678,225,cF8,"['C', 'Pu']",-0.232,4.396,0,,,,2,30.9876,4.985965979440758,,,,,
C1Re1,aflow:519a5865dda16e17,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Re1_ICSD_77350,225,cF8,"['C', 'Re']",0.0,0.0,0,,,,2,20.8414,4.368466001528975,,,,,
C1Re1,aflow:9a20485122114e84,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Re1_ICSD_185981,225,cF8,"['C', 'Re']",-0.035,0.853,0,,,,2,21.0284,4.38149250999413,,,,,
C1Rh1,aflow:3a4b13f181909c0b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Rh1_ICSD_181773,225,cF8,"['C', 'Rh']",0.113,0.302,0,3.09355e-05,405.975,,2,20.5277,4.346437387799941,280.367,0.390611,66.1628,184.014,10.6001
C1Rh1,aflow:a4650fbe13f71ea1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Rh1_ICSD_183171,225,cF8,"['C', 'Rh']",0.113,0.302,0,,,,2,20.5312,4.346684398203017,,,,,
C1Ru1,aflow:4990d46926dfee7a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ru1_ICSD_183169,225,cF8,"['C', 'Ru']",0.0,0.0,0,2.79783e-05,204.963,,2,20.0158,4.310003750335433,317.922,0.475088,16.1078,47.521,1.49975
C1Sc1,aflow:ae57dbb8516508a7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Sc1_ICSD_181047,225,cF8,"['C', 'Sc']",0.0,0.0,0,3.34434e-05,607.089,,2,26.9384,4.758578772080282,146.644,0.294489,69.843,180.822,28.7652
C1Sc1,aflow:d712f48afd00ad2b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Sc1_ICSD_43524,225,cF8,"['C', 'Sc']",0.0,0.0,0,,,,2,26.9834,4.76122699814137,,,,,
C1Sc1,aflow:e9b28a327b4f0028,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Sc1_ICSD_189084,225,cF8,"['C', 'Sc']",0.0,0.0,0,,,,2,26.9381,4.7585611073472736,,,,,
C1Si1,aflow:0e5c7dd4d4402dff,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Si1_ICSD_182362,225,cF8,"['C', 'Si']",0.0,0.0,0,2.71302e-05,1026.21,0.535123,2,16.7055,4.057948116675488,242.211,0.206966,176.416,425.857,60.7937
C1Sn1,aflow:01f0334da2961bb4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Sn1_ICSD_182366,225,cF8,"['C', 'Sn']",0.0,0.0,0,5.65259e-05,444.036,,2,29.3732,4.897830498697674,119.661,0.211036,85.6568,207.467,14.5718
C1Ta1,aflow:00a1069b6142347c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_185979,225,cF8,"['C', 'Ta']",0.0,0.0,0,,,,2,22.8488,4.504443347772694,,,,,
