compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,species,spinD,Egap,agl_thermal_expansion_300K,agl_debye,enthalpy_formation_atom,natoms,volume_cell,ael_bulk_modulus_vrh,ael_poisson_ratio,ael_shear_modulus_vrh,ael_youngs_modulus_vrh,agl_thermal_conductivity_300K
C1Pu1,aflow:257936faf6785e79,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pu1_ICSD_618665,225,cF8,"['C', 'Pu']","[-0.233, 4.396]",0,,,,2,30.9832,,,,,
C1Pu1,aflow:5cb46318869a4a70,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pu1_ICSD_618670,225,cF8,"['C', 'Pu']","[-0.232, 4.396]",0,,,,2,30.9704,,,,,
C1Pu1,aflow:5f74025cd78a8182,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pu1_ICSD_77305,225,cF8,"['C', 'Pu']","[-0.232, 4.396]",0,,,,2,30.9545,,,,,
C1Pu1,aflow:88e69408c087daa4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pu1_ICSD_618671,225,cF8,"['C', 'Pu']","[-0.231, 4.395]",0,,,,2,30.9391,,,,,
C1Pu1,aflow:93392054fcfff716,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pu1_ICSD_31719,225,cF8,"['C', 'Pu']",[4.393],0,,,,2,30.9646,,,,,
C1Pu1,aflow:aeda4a4d6b30f06a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pu1_ICSD_618675,225,cF8,"['C', 'Pu']","[-0.234, 4.401]",0,,,,2,31.1426,,,,,
C1Pu1,aflow:c29f8b8a7e63eeaa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pu1_ICSD_618676,225,cF8,"['C', 'Pu']","[-0.233, 4.397]",0,,,,2,30.998,,,,,
C1Pu1,aflow:e8527346a8162154,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pu1_ICSD_618678,225,cF8,"['C', 'Pu']","[-0.232, 4.396]",0,,,,2,30.9876,,,,,
C1Re1,aflow:519a5865dda16e17,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Re1_ICSD_77350,225,cF8,"['C', 'Re']","[0, 0]",0,,,,2,20.8414,,,,,
C1Re1,aflow:9a20485122114e84,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Re1_ICSD_185981,225,cF8,"['C', 'Re']","[-0.035, 0.853]",0,,,,2,21.0284,,,,,
C1Rh1,aflow:3a4b13f181909c0b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Rh1_ICSD_181773,225,cF8,"['C', 'Rh']","[0.113, 0.302]",0,3.09355e-05,405.975,,2,20.5277,280.367,0.390611,66.1628,184.014,10.6001
C1Rh1,aflow:a4650fbe13f71ea1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Rh1_ICSD_183171,225,cF8,"['C', 'Rh']","[0.113, 0.302]",0,,,,2,20.5312,,,,,
C1Ru1,aflow:4990d46926dfee7a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ru1_ICSD_183169,225,cF8,"['C', 'Ru']","[0, 0]",0,2.79783e-05,204.963,,2,20.0158,317.922,0.475088,16.1078,47.521,1.49975
C1Sc1,aflow:ae57dbb8516508a7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Sc1_ICSD_181047,225,cF8,"['C', 'Sc']","[0, 0]",0,3.34434e-05,607.089,,2,26.9384,146.644,0.294489,69.843,180.822,28.7652
C1Sc1,aflow:d712f48afd00ad2b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Sc1_ICSD_43524,225,cF8,"['C', 'Sc']","[0, 0]",0,,,,2,26.9834,,,,,
